Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,110.870003,112.180000,108.650002,109.260002,102.083527,302300
2017-01-04,109.529999,111.570000,109.529999,110.739998,103.466324,344400
2017-01-05,110.790001,110.790001,108.769997,109.599998,102.401192,366100
2017-01-06,109.580002,110.139999,109.150002,109.400002,102.214340,294900
2017-01-09,109.449997,109.449997,107.690002,108.199997,101.093140,302200
2017-01-10,108.279999,108.529999,107.110001,108.220001,101.111824,463300
2017-01-11,108.669998,108.669998,107.570000,108.180000,101.074455,441100
2017-01-12,107.809998,108.940002,107.470001,108.769997,101.625717,311300
2017-01-13,109.489998,110.790001,108.480003,109.199997,102.027473,342800
2017-01-17,110.730003,111.330002,108.000000,108.389999,101.270676,335600
2017-01-18,108.309998,108.750000,107.339996,107.790001,100.710083,351600
2017-01-19,107.919998,108.529999,106.900002,107.500000,100.439125,300600
2017-01-20,108.199997,109.550003,106.800003,107.489998,100.429779,285500
2017-01-23,106.989998,107.900002,106.320000,107.269997,100.224236,228000
2017-01-24,107.449997,108.790001,106.959999,108.309998,101.195938,430000
2017-01-25,108.980003,111.910004,108.980003,111.540001,104.213791,462200
2017-01-26,111.489998,112.309998,111.129997,112.029999,104.671600,428400
2017-01-27,112.209999,112.470001,111.220001,111.809998,104.466049,343400
2017-01-30,110.949997,111.300003,110.360001,110.730003,103.456985,292600
2017-01-31,110.699997,111.019997,108.639999,109.110001,101.943382,501700
2017-02-01,109.129997,110.180000,109.000000,109.730003,102.522675,365300
2017-02-02,109.220001,109.599998,107.080002,107.750000,100.672714,463700
2017-02-03,108.150002,109.230003,108.059998,109.169998,101.999435,343300
2017-02-06,108.620003,109.489998,108.000000,108.239998,101.130524,304000
2017-02-07,108.260002,109.209999,107.269997,107.589996,100.523193,254500
2017-02-08,107.849998,108.570000,107.050003,107.730003,100.654045,319200
2017-02-09,108.379997,108.570000,107.650002,108.570000,101.438843,475800
2017-02-10,108.389999,108.489998,101.589996,105.160004,98.252838,1615200
2017-02-13,104.879997,106.300003,104.639999,105.599998,98.663918,654600
2017-02-14,105.089996,105.379997,104.120003,104.940002,98.047279,322900
2017-02-15,104.589996,105.349998,103.699997,105.029999,98.459755,350500
2017-02-16,105.190002,105.650002,104.330002,105.650002,99.040955,355800
2017-02-17,105.540001,106.080002,104.849998,105.870003,99.247208,392700
2017-02-21,105.870003,106.730003,105.139999,105.580002,98.975357,316500
2017-02-22,105.230003,106.089996,105.089996,105.669998,99.059723,515900
2017-02-23,105.910004,106.230003,104.019997,105.650002,99.040955,653400
2017-02-24,104.169998,105.809998,103.559998,104.580002,98.037918,554100
2017-02-27,104.629997,105.529999,104.459999,104.879997,98.319130,399100
2017-02-28,103.910004,104.879997,103.059998,103.300003,96.837982,701200
2017-03-01,104.389999,106.010002,103.959999,105.239998,98.656631,609600
2017-03-02,105.279999,105.709999,103.669998,103.980003,97.475426,645900
2017-03-03,104.129997,106.220001,104.129997,105.949997,99.322220,674300
2017-03-06,105.480003,105.940002,105.019997,105.400002,98.806610,362600
2017-03-07,104.910004,105.839996,104.339996,104.489998,97.953529,340200
2017-03-08,104.430000,104.910004,103.769997,104.379997,97.850426,396600
2017-03-09,103.989998,105.050003,103.739998,104.980003,98.412880,837500
2017-03-10,105.360001,106.750000,105.349998,106.629997,99.959656,648900
2017-03-13,106.589996,107.419998,106.139999,107.239998,100.531494,518700
2017-03-14,106.080002,107.580002,105.370003,107.449997,100.728371,464500
2017-03-15,107.790001,108.239998,106.709999,108.000000,101.243980,492900
2017-03-16,108.059998,108.440002,107.410004,108.019997,101.262703,213900
2017-03-17,107.870003,108.680000,107.820000,108.419998,101.637688,659100
2017-03-20,108.500000,108.500000,107.180000,107.790001,101.047089,441300
2017-03-21,108.440002,108.440002,105.879997,106.599998,99.931534,367400
2017-03-22,106.589996,107.199997,106.180000,106.900002,100.212769,320700
2017-03-23,106.879997,107.970001,106.559998,107.269997,100.559631,206800
2017-03-24,107.220001,107.879997,105.949997,106.480003,99.819038,323600
2017-03-27,105.250000,106.089996,105.059998,105.730003,99.115974,337100
2017-03-28,105.239998,106.410004,105.029999,106.089996,99.453438,370200
2017-03-29,106.010002,106.339996,105.169998,105.959999,99.331589,362400
2017-03-30,105.750000,106.559998,105.300003,106.400002,99.744049,395800
2017-03-31,106.080002,107.050003,106.080002,106.410004,99.753426,301900
2017-04-03,106.580002,106.989998,104.089996,104.849998,98.291016,446100
2017-04-04,104.860001,104.980003,104.080002,104.360001,97.831650,382900
2017-04-05,104.790001,104.900002,103.339996,103.430000,96.959846,492600
2017-04-06,103.870003,104.629997,102.839996,104.239998,97.719162,389200
2017-04-07,103.839996,104.470001,103.519997,103.919998,97.419189,232800
2017-04-10,103.930000,104.599998,103.389999,103.599998,97.119202,487800
2017-04-11,103.500000,105.680000,102.739998,105.639999,99.031593,764000
2017-04-12,105.379997,105.580002,104.660004,104.779999,98.225403,383500
2017-04-13,104.440002,105.769997,102.830002,102.860001,96.425491,402100
2017-04-17,103.430000,104.330002,103.019997,104.040001,97.531708,350600
2017-04-18,104.080002,104.599998,103.269997,103.650002,97.166092,372700
2017-04-19,104.279999,104.620003,103.599998,104.510002,97.972298,374000
